Journal,ISSN,Category,Ranking_System,Level,Note
American Journal of Sociology,0002-9602,Sociology,SCImago,Q1,Core Sociology
American Sociological Review,0003-1224,Sociology,SCImago,Q1,Core Sociology
Annual Review of Sociology,0360-0572,Sociology,SCImago,Q1,Review Journal
Social Forces,0037-7732,Sociology,SCImago,Q1,Core Sociology
Sociology,0038-0385,Sociology,SCImago,Q1,BSA Journal
British Journal of Sociology,0007-1315,Sociology,SCImago,Q1,Core Sociology
Gender & Society,0891-2432,Gender Studies,SCImago,Q1,Leading Gender Studies
Signs,0097-9740,Gender Studies,SCImago,Q1,Feminist Scholarship
World Development,0305-750X,Development,SCImago,Q1,Leading Development
Journal of Development Studies,0022-0388,Development,SCImago,Q1,Development Studies
Development and Change,0012-155X,Development,SCImago,Q1,Development Studies
American Political Science Review,0003-0554,Political Science,SCImago,Q1,Core Political Science
American Journal of Political Science,0092-5853,Political Science,SCImago,Q1,Core Political Science
Journal of Politics,0022-3816,Political Science,SCImago,Q1,Political Science
Comparative Political Studies,0010-4140,Political Science,SCImago,Q1,Political Science
International Organization,0020-8183,Political Science,SCImago,Q1,International Relations
American Ethnologist,0094-0496,Anthropology,SCImago,Q1,Social Anthropology
Cultural Anthropology,0886-7356,Anthropology,SCImago,Q1,Anthropology
Current Anthropology,0011-3204,Anthropology,SCImago,Q1,Anthropology
American Journal of Sociology,0002-9602,Sociology,Web of Science,Q1,Core Sociology
American Sociological Review,0003-1224,Sociology,Web of Science,Q1,Core Sociology
American Political Science Review,0003-0554,Political Science,Web of Science,Q1,Core Political Science
World Development,0305-750X,Development,Web of Science,Q1,Development
Gender & Society,0891-2432,Gender Studies,Web of Science,Q1,Gender Studies
American Journal of Sociology,0002-9602,Sociology,Norwegian Register,Level 2,High quality
American Sociological Review,0003-1224,Sociology,Norwegian Register,Level 2,High quality
American Political Science Review,0003-0554,Political Science,Norwegian Register,Level 2,High quality
World Development,0305-750X,Development,Norwegian Register,Level 2,High quality
American Journal of Sociology,0002-9602,Sociology,JUFO,Level 3,Highest Finnish level
American Sociological Review,0003-1224,Sociology,JUFO,Level 3,Highest Finnish level
American Political Science Review,0003-0554,Political Science,JUFO,Level 2,High quality
World Development,0305-750X,Development,JUFO,Level 2,High quality
