Journal,ISSN,Category,Quartile,Note
American Journal of Sociology,0002-9602,Sociology and Political Science,Q1,Verified Q1 on SCImago
American Sociological Review,0003-1224,Sociology and Political Science,Q1,Verified Q1 on SCImago
Annual Review of Sociology,0360-0572,Sociology and Political Science,Q1,Verified Q1 on SCImago
Social Forces,0037-7732,Sociology and Political Science,Q1,Verified Q1 on SCImago
Sociology,0038-0385,Sociology and Political Science,Q1,Verified Q1 on SCImago
British Journal of Sociology,0007-1315,Sociology and Political Science,Q1,Verified Q1 on SCImago
Gender & Society,0891-2432,Gender Studies,Q1,Verified Q1 on SCImago
Signs,0097-9740,Gender Studies,Q1,Verified Q1 on SCImago
World Development,0305-750X,Development,Q1,Verified Q1 on SCImago
Journal of Development Studies,0022-0388,Development,Q1,Verified Q1 on SCImago
Development and Change,0012-155X,Development,Q1,Verified Q1 on SCImago
American Political Science Review,0003-0554,Political Science and International Relations,Q1,Verified Q1 on SCImago
American Journal of Political Science,0092-5853,Political Science and International Relations,Q1,Verified Q1 on SCImago
Journal of Politics,0022-3816,Political Science and International Relations,Q1,Verified Q1 on SCImago
Comparative Political Studies,0010-4140,Political Science and International Relations,Q1,Verified Q1 on SCImago
International Organization,0020-8183,Political Science and International Relations,Q1,Verified Q1 on SCImago
American Ethnologist,0094-0496,Anthropology,Q1,Verified Q1 on SCImago
Cultural Anthropology,0886-7356,Anthropology,Q1,Verified Q1 on SCImago
Current Anthropology,0011-3204,Anthropology,Q1,Verified Q1 on SCImago
